shot_id,episode,scene_id,beat,start_time_sec,duration_sec,location_id,location_name,characters,action,dialogue,emotion,shot_type,camera,movement,composition,props,wardrobe,lighting,style_keywords,continuity_notes,storyboard_prompt,video_prompt,negative_prompt,seed,reference_pack,output_type,output_path,priority
S0011,1,SC01,hook,26,3,L1,青岚宗外门院,C1|C2,众人围观，压力逼近,我只求考核资格。,隐忍,MCU,eye-level,slow push-in,rule-of-thirds,C1_jade_pendant,C1:dark-blue hanfu; C2:black robe silver pattern,daylight,cinematic|realistic|ancient|9:16,C1半束发髻+深蓝常驻道袍+玉坠一致; C2黑衣银纹+高发髻+银剑穗一致,"Vertical 9:16, cinematic realistic live-action ancient xianxia, 青岚宗外门院, daylight, characters C1|C2, 众人围观，压力逼近, emotion 隐忍. no modern text",,blurry|lowres|deformed hands|extra fingers|text|watermark|logo|bad anatomy,100012,refpacks/C1;refpacks/C2,storyboard,episodes/ep0001/storyboard/S0011.png,mid
S0012,1,SC01,hook,29,3,L1,青岚宗外门院,C1,C1压住怒意，玉坠微热，抬眼,我只求考核资格。,爆发前的隐忍,MCU,eye-level,slow push-in,two-shot,C1_jade_pendant,C1:dark-blue hanfu,daylight,cinematic|realistic|ancient|9:16,C1半束发髻+深蓝常驻道袍+玉坠一致; C2黑衣银纹+高发髻+银剑穗一致,"Vertical 9:16, cinematic realistic live-action ancient xianxia, 青岚宗外门院, daylight, characters C1, C1压住怒意，玉坠微热，抬眼, emotion 爆发前的隐忍. cinematic realism","Vertical 9:16, cinematic realistic live-action ancient xianxia, 青岚宗外门院, daylight, characters C1, C1压住怒意，玉坠微热，抬眼, emotion 爆发前的隐忍. 3s video, slight camera move, cinematic realistic",blurry|lowres|deformed hands|extra fingers|text|watermark|logo|bad anatomy,223402,refpacks/C1,video,episodes/ep0001/clips/S0012.mp4,high
S0013,1,SC01,hook,32,4,L1,青岚宗外门院,C1|C2,C1握拳忍耐,我只求考核资格。,羞辱,MS,eye-level,static,rule-of-thirds,wood_sword,C1:dark-blue hanfu; C2:black robe silver pattern,daylight,cinematic|realistic|ancient|9:16,C1半束发髻+深蓝常驻道袍+玉坠一致; C2黑衣银纹+高发髻+银剑穗一致,"Vertical 9:16, cinematic realistic live-action ancient xianxia, 青岚宗外门院, daylight, characters C1|C2, C1握拳忍耐, emotion 羞辱. no modern text",,blurry|lowres|deformed hands|extra fingers|text|watermark|logo|bad anatomy,100014,refpacks/C1;refpacks/C2,storyboard,episodes/ep0001/storyboard/S0013.png,mid
S0014,1,SC01,hook,36,2,L1,青岚宗外门院,C1|C2,C1握拳忍耐,来，废柴。,压迫,MCU,eye-level,slow push-in,diagonal,wood_sword,C1:dark-blue hanfu; C2:black robe silver pattern,daylight,cinematic|realistic|ancient|9:16,C1半束发髻+深蓝常驻道袍+玉坠一致; C2黑衣银纹+高发髻+银剑穗一致,"Vertical 9:16, cinematic realistic live-action ancient xianxia, 青岚宗外门院, daylight, characters C1|C2, C1握拳忍耐, emotion 压迫. no modern text",,blurry|lowres|deformed hands|extra fingers|text|watermark|logo|bad anatomy,100015,refpacks/C1;refpacks/C2,storyboard,episodes/ep0001/storyboard/S0014.png,mid
S0015,1,SC01,hook,38,2,L1,青岚宗外门院,C1|C2,木剑落地特写,……,愤怒,CU,eye-level,static,rule-of-thirds,,C1:dark-blue hanfu; C2:black robe silver pattern,daylight,cinematic|realistic|ancient|9:16,C1半束发髻+深蓝常驻道袍+玉坠一致; C2黑衣银纹+高发髻+银剑穗一致,"Vertical 9:16, cinematic realistic live-action ancient xianxia, 青岚宗外门院, daylight, characters C1|C2, 木剑落地特写, emotion 愤怒. no modern text",,blurry|lowres|deformed hands|extra fingers|text|watermark|logo|bad anatomy,100016,refpacks/C1;refpacks/C2,storyboard,episodes/ep0001/storyboard/S0015.png,mid
S0016,1,SC01,hook,40,4,L1,青岚宗外门院,C1|C2,木剑落地特写,我只求考核资格。,隐忍,CU,eye-level,handheld slight,rule-of-thirds,,C1:dark-blue hanfu; C2:black robe silver pattern,daylight,cinematic|realistic|ancient|9:16,C1半束发髻+深蓝常驻道袍+玉坠一致; C2黑衣银纹+高发髻+银剑穗一致,"Vertical 9:16, cinematic realistic live-action ancient xianxia, 青岚宗外门院, daylight, characters C1|C2, 木剑落地特写, emotion 隐忍. no modern text",,blurry|lowres|deformed hands|extra fingers|text|watermark|logo|bad anatomy,100017,refpacks/C1;refpacks/C2,storyboard,episodes/ep0001/storyboard/S0016.png,mid
S0017,1,SC01,hook,44,2,L1,青岚宗外门院,C1|C2,木剑落地特写,……,羞辱,CU,eye-level,static,over-shoulder,wood_sword,C1:dark-blue hanfu; C2:black robe silver pattern,daylight,cinematic|realistic|ancient|9:16,C1半束发髻+深蓝常驻道袍+玉坠一致; C2黑衣银纹+高发髻+银剑穗一致,"Vertical 9:16, cinematic realistic live-action ancient xianxia, 青岚宗外门院, daylight, characters C1|C2, 木剑落地特写, emotion 羞辱. no modern text",,blurry|lowres|deformed hands|extra fingers|text|watermark|logo|bad anatomy,100018,refpacks/C1;refpacks/C2,storyboard,episodes/ep0001/storyboard/S0017.png,mid
S0018,1,SC01,hook,46,2,L1,青岚宗外门院,C1|C2,人群窃笑切镜,……,隐忍,CU,eye-level,slow push-in,two-shot,,C1:dark-blue hanfu; C2:black robe silver pattern,daylight,cinematic|realistic|ancient|9:16,C1半束发髻+深蓝常驻道袍+玉坠一致; C2黑衣银纹+高发髻+银剑穗一致,"Vertical 9:16, cinematic realistic live-action ancient xianxia, 青岚宗外门院, daylight, characters C1|C2, 人群窃笑切镜, emotion 隐忍. no modern text",,blurry|lowres|deformed hands|extra fingers|text|watermark|logo|bad anatomy,100019,refpacks/C1;refpacks/C2,storyboard,episodes/ep0001/storyboard/S0018.png,mid
S0019,1,SC01,hook,48,2,L1,青岚宗外门院,C1|C2,C1握拳忍耐,……,愤怒,WS,eye-level,static,two-shot,wood_sword,C1:dark-blue hanfu; C2:black robe silver pattern,daylight,cinematic|realistic|ancient|9:16,C1半束发髻+深蓝常驻道袍+玉坠一致; C2黑衣银纹+高发髻+银剑穗一致,"Vertical 9:16, cinematic realistic live-action ancient xianxia, 青岚宗外门院, daylight, characters C1|C2, C1握拳忍耐, emotion 愤怒. no modern text",,blurry|lowres|deformed hands|extra fingers|text|watermark|logo|bad anatomy,100020,refpacks/C1;refpacks/C2,storyboard,episodes/ep0001/storyboard/S0019.png,mid
S0020,1,SC01,hook,50,2,L1,青岚宗外门院,C1|C2,人群窃笑切镜,示范一下不配。,隐忍,WS,eye-level,static,over-shoulder,wood_sword,C1:dark-blue hanfu; C2:black robe silver pattern,daylight,cinematic|realistic|ancient|9:16,C1半束发髻+深蓝常驻道袍+玉坠一致; C2黑衣银纹+高发髻+银剑穗一致,"Vertical 9:16, cinematic realistic live-action ancient xianxia, 青岚宗外门院, daylight, characters C1|C2, 人群窃笑切镜, emotion 隐忍. no modern text",,blurry|lowres|deformed hands|extra fingers|text|watermark|logo|bad anatomy,100021,refpacks/C1;refpacks/C2,storyboard,episodes/ep0001/storyboard/S0020.png,mid
S0021,1,SC01,hook,52,4,L1,青岚宗外门院,C1|C2,木剑落地特写,示范一下不配。,羞辱,MS,eye-level,handheld slight,over-shoulder,,C1:dark-blue hanfu; C2:black robe silver pattern,daylight,cinematic|realistic|ancient|9:16,C1半束发髻+深蓝常驻道袍+玉坠一致; C2黑衣银纹+高发髻+银剑穗一致,"Vertical 9:16, cinematic realistic live-action ancient xianxia, 青岚宗外门院, daylight, characters C1|C2, 木剑落地特写, emotion 羞辱. no modern text",,blurry|lowres|deformed hands|extra fingers|text|watermark|logo|bad anatomy,100022,refpacks/C1;refpacks/C2,storyboard,episodes/ep0001/storyboard/S0021.png,mid
S0022,1,SC01,hook,56,2,L1,青岚宗外门院,C1|C2,C2冷笑逼近,来，废柴。,压迫,MS,eye-level,static,two-shot,,C1:dark-blue hanfu; C2:black robe silver pattern,daylight,cinematic|realistic|ancient|9:16,C1半束发髻+深蓝常驻道袍+玉坠一致; C2黑衣银纹+高发髻+银剑穗一致,"Vertical 9:16, cinematic realistic live-action ancient xianxia, 青岚宗外门院, daylight, characters C1|C2, C2冷笑逼近, emotion 压迫. no modern text",,blurry|lowres|deformed hands|extra fingers|text|watermark|logo|bad anatomy,100023,refpacks/C1;refpacks/C2,storyboard,episodes/ep0001/storyboard/S0022.png,mid
S0023,1,SC01,hook,58,4,L1,青岚宗外门院,C1|C2,C1握拳忍耐,来，废柴。,隐忍,WS,eye-level,slow push-in,diagonal,,C1:dark-blue hanfu; C2:black robe silver pattern,daylight,cinematic|realistic|ancient|9:16,C1半束发髻+深蓝常驻道袍+玉坠一致; C2黑衣银纹+高发髻+银剑穗一致,"Vertical 9:16, cinematic realistic live-action ancient xianxia, 青岚宗外门院, daylight, characters C1|C2, C1握拳忍耐, emotion 隐忍. no modern text",,blurry|lowres|deformed hands|extra fingers|text|watermark|logo|bad anatomy,100024,refpacks/C1;refpacks/C2,storyboard,episodes/ep0001/storyboard/S0023.png,mid
S0024,1,SC01,hook,62,3,L1,青岚宗外门院,C2,C2冷笑特写，压迫感拉满,资格？你连活着都不配。,嘲讽,CU,eye-level,handheld slight,center,,C1:dark-blue hanfu; C2:black robe silver pattern,daylight,cinematic|realistic|ancient|9:16,C1半束发髻+深蓝常驻道袍+玉坠一致; C2黑衣银纹+高发髻+银剑穗一致,"Vertical 9:16, cinematic realistic live-action ancient xianxia, 青岚宗外门院, daylight, characters C2, C2冷笑特写，压迫感拉满, emotion 嘲讽. cinematic realism","Vertical 9:16, cinematic realistic live-action ancient xianxia, 青岚宗外门院, daylight, characters C2, C2冷笑特写，压迫感拉满, emotion 嘲讽. 3s video, slight camera move, cinematic realistic",blurry|lowres|deformed hands|extra fingers|text|watermark|logo|bad anatomy,223403,refpacks/C2,video,episodes/ep0001/clips/S0024.mp4,high
S0025,1,SC01,hook,65,2,L1,青岚宗外门院,C1|C2,C1握拳忍耐,来，废柴。,愤怒,CU,eye-level,slow push-in,over-shoulder,,C1:dark-blue hanfu; C2:black robe silver pattern,daylight,cinematic|realistic|ancient|9:16,C1半束发髻+深蓝常驻道袍+玉坠一致; C2黑衣银纹+高发髻+银剑穗一致,"Vertical 9:16, cinematic realistic live-action ancient xianxia, 青岚宗外门院, daylight, characters C1|C2, C1握拳忍耐, emotion 愤怒. no modern text",,blurry|lowres|deformed hands|extra fingers|text|watermark|logo|bad anatomy,100026,refpacks/C1;refpacks/C2,storyboard,episodes/ep0001/storyboard/S0025.png,mid
S0026,1,SC01,hook,67,2,L1,青岚宗外门院,C1|C2,木剑落地特写,……,隐忍,WS,eye-level,static,over-shoulder,wood_sword,C1:dark-blue hanfu; C2:black robe silver pattern,daylight,cinematic|realistic|ancient|9:16,C1半束发髻+深蓝常驻道袍+玉坠一致; C2黑衣银纹+高发髻+银剑穗一致,"Vertical 9:16, cinematic realistic live-action ancient xianxia, 青岚宗外门院, daylight, characters C1|C2, 木剑落地特写, emotion 隐忍. no modern text",,blurry|lowres|deformed hands|extra fingers|text|watermark|logo|bad anatomy,100027,refpacks/C1;refpacks/C2,storyboard,episodes/ep0001/storyboard/S0026.png,mid
S0027,1,SC01,hook,69,4,L1,青岚宗外门院,C1|C2,人群窃笑切镜,来，废柴。,愤怒,MCU,eye-level,handheld slight,diagonal,wood_sword,C1:dark-blue hanfu; C2:black robe silver pattern,daylight,cinematic|realistic|ancient|9:16,C1半束发髻+深蓝常驻道袍+玉坠一致; C2黑衣银纹+高发髻+银剑穗一致,"Vertical 9:16, cinematic realistic live-action ancient xianxia, 青岚宗外门院, daylight, characters C1|C2, 人群窃笑切镜, emotion 愤怒. no modern text",,blurry|lowres|deformed hands|extra fingers|text|watermark|logo|bad anatomy,100028,refpacks/C1;refpacks/C2,storyboard,episodes/ep0001/storyboard/S0027.png,mid
S0028,1,SC01,hook,73,3,L1,青岚宗外门院,C1|C2,人群窃笑切镜,来，废柴。,羞辱,CU,eye-level,handheld slight,rule-of-thirds,wood_sword,C1:dark-blue hanfu; C2:black robe silver pattern,daylight,cinematic|realistic|ancient|9:16,C1半束发髻+深蓝常驻道袍+玉坠一致; C2黑衣银纹+高发髻+银剑穗一致,"Vertical 9:16, cinematic realistic live-action ancient xianxia, 青岚宗外门院, daylight, characters C1|C2, 人群窃笑切镜, emotion 羞辱. no modern text",,blurry|lowres|deformed hands|extra fingers|text|watermark|logo|bad anatomy,100029,refpacks/C1;refpacks/C2,storyboard,episodes/ep0001/storyboard/S0028.png,mid
S0029,1,SC01,hook,76,3,L1,青岚宗外门院,C1|C2,木剑落地特写,我只求考核资格。,压迫,CU,eye-level,static,two-shot,C1_jade_pendant,C1:dark-blue hanfu; C2:black robe silver pattern,daylight,cinematic|realistic|ancient|9:16,C1半束发髻+深蓝常驻道袍+玉坠一致; C2黑衣银纹+高发髻+银剑穗一致,"Vertical 9:16, cinematic realistic live-action ancient xianxia, 青岚宗外门院, daylight, characters C1|C2, 木剑落地特写, emotion 压迫. no modern text",,blurry|lowres|deformed hands|extra fingers|text|watermark|logo|bad anatomy,100030,refpacks/C1;refpacks/C2,storyboard,episodes/ep0001/storyboard/S0029.png,mid
S0030,1,SC01,hook,79,4,L1,青岚宗外门院,C1|C2,木剑落地特写,……,压迫,CU,eye-level,static,center,,C1:dark-blue hanfu; C2:black robe silver pattern,daylight,cinematic|realistic|ancient|9:16,C1半束发髻+深蓝常驻道袍+玉坠一致; C2黑衣银纹+高发髻+银剑穗一致,"Vertical 9:16, cinematic realistic live-action ancient xianxia, 青岚宗外门院, daylight, characters C1|C2, 木剑落地特写, emotion 压迫. no modern text",,blurry|lowres|deformed hands|extra fingers|text|watermark|logo|bad anatomy,100031,refpacks/C1;refpacks/C2,storyboard,episodes/ep0001/storyboard/S0030.png,mid
S0031,1,SC01,hook,83,3,L1,青岚宗外门院,C1|C2,人群窃笑切镜,……,压迫,MCU,eye-level,slow push-in,two-shot,,C1:dark-blue hanfu; C2:black robe silver pattern,daylight,cinematic|realistic|ancient|9:16,C1半束发髻+深蓝常驻道袍+玉坠一致; C2黑衣银纹+高发髻+银剑穗一致,"Vertical 9:16, cinematic realistic live-action ancient xianxia, 青岚宗外门院, daylight, characters C1|C2, 人群窃笑切镜, emotion 压迫. no modern text",,blurry|lowres|deformed hands|extra fingers|text|watermark|logo|bad anatomy,100032,refpacks/C1;refpacks/C2,storyboard,episodes/ep0001/storyboard/S0031.png,mid
S0032,1,SC01,hook,86,4,L1,青岚宗外门院,C1|C2,C1握拳忍耐,来，废柴。,羞辱,MS,eye-level,handheld slight,over-shoulder,wood_sword,C1:dark-blue hanfu; C2:black robe silver pattern,daylight,cinematic|realistic|ancient|9:16,C1半束发髻+深蓝常驻道袍+玉坠一致; C2黑衣银纹+高发髻+银剑穗一致,"Vertical 9:16, cinematic realistic live-action ancient xianxia, 青岚宗外门院, daylight, characters C1|C2, C1握拳忍耐, emotion 羞辱. no modern text",,blurry|lowres|deformed hands|extra fingers|text|watermark|logo|bad anatomy,100033,refpacks/C1;refpacks/C2,storyboard,episodes/ep0001/storyboard/S0032.png,mid
S0033,1,SC01,hook,90,3,L1,青岚宗外门院,C1|C2,C1握拳忍耐,我只求考核资格。,愤怒,MCU,eye-level,static,rule-of-thirds,wood_sword,C1:dark-blue hanfu; C2:black robe silver pattern,daylight,cinematic|realistic|ancient|9:16,C1半束发髻+深蓝常驻道袍+玉坠一致; C2黑衣银纹+高发髻+银剑穗一致,"Vertical 9:16, cinematic realistic live-action ancient xianxia, 青岚宗外门院, daylight, characters C1|C2, C1握拳忍耐, emotion 愤怒. no modern text",,blurry|lowres|deformed hands|extra fingers|text|watermark|logo|bad anatomy,100034,refpacks/C1;refpacks/C2,storyboard,episodes/ep0001/storyboard/S0033.png,mid
S0034,1,SC01,hook,93,2,L1,青岚宗外门院,C1|C2,众人围观，压力逼近,我只求考核资格。,羞辱,CU,eye-level,static,two-shot,C1_jade_pendant,C1:dark-blue hanfu; C2:black robe silver pattern,daylight,cinematic|realistic|ancient|9:16,C1半束发髻+深蓝常驻道袍+玉坠一致; C2黑衣银纹+高发髻+银剑穗一致,"Vertical 9:16, cinematic realistic live-action ancient xianxia, 青岚宗外门院, daylight, characters C1|C2, 众人围观，压力逼近, emotion 羞辱. no modern text",,blurry|lowres|deformed hands|extra fingers|text|watermark|logo|bad anatomy,100035,refpacks/C1;refpacks/C2,storyboard,episodes/ep0001/storyboard/S0034.png,mid
S0035,1,SC01,hook,95,4,L1,青岚宗外门院,C1|C2,C1握拳忍耐,来，废柴。,愤怒,CU,eye-level,handheld slight,diagonal,wood_sword,C1:dark-blue hanfu; C2:black robe silver pattern,daylight,cinematic|realistic|ancient|9:16,C1半束发髻+深蓝常驻道袍+玉坠一致; C2黑衣银纹+高发髻+银剑穗一致,"Vertical 9:16, cinematic realistic live-action ancient xianxia, 青岚宗外门院, daylight, characters C1|C2, C1握拳忍耐, emotion 愤怒. no modern text",,blurry|lowres|deformed hands|extra fingers|text|watermark|logo|bad anatomy,100036,refpacks/C1;refpacks/C2,storyboard,episodes/ep0001/storyboard/S0035.png,mid
S0036,1,SC02,setup,99,4,L1,管事处,C1,柜台敲响,陆师兄说了。,受挫,MCU,eye-level,static,diagonal,token,C1:dark-blue hanfu,indoor soft,cinematic|realistic|ancient|9:16,C1半束发髻+深蓝常驻道袍+玉坠一致,"Vertical 9:16, cinematic realistic live-action ancient xianxia, 管事处, indoor soft, characters C1, 柜台敲响, emotion 受挫. no modern text",,blurry|lowres|deformed hands|extra fingers|text|watermark|logo|bad anatomy,100037,refpacks/C1,storyboard,episodes/ep0001/storyboard/S0036.png,mid
S0037,1,SC02,setup,103,5,L1,管事处,C1,名册合上,陆师兄说了。,压抑,MCU,eye-level,slow push-in,center,,C1:dark-blue hanfu,indoor soft,cinematic|realistic|ancient|9:16,C1半束发髻+深蓝常驻道袍+玉坠一致,"Vertical 9:16, cinematic realistic live-action ancient xianxia, 管事处, indoor soft, characters C1, 名册合上, emotion 压抑. no modern text",,blurry|lowres|deformed hands|extra fingers|text|watermark|logo|bad anatomy,100038,refpacks/C1,storyboard,episodes/ep0001/storyboard/S0037.png,mid
S0038,1,SC02,setup,108,3,L1,管事处,C1,名册合上,陆师兄说了。,受挫,MS,eye-level,slow push-in,two-shot,token,C1:dark-blue hanfu,indoor soft,cinematic|realistic|ancient|9:16,C1半束发髻+深蓝常驻道袍+玉坠一致,"Vertical 9:16, cinematic realistic live-action ancient xianxia, 管事处, indoor soft, characters C1, 名册合上, emotion 受挫. no modern text",,blurry|lowres|deformed hands|extra fingers|text|watermark|logo|bad anatomy,100039,refpacks/C1,storyboard,episodes/ep0001/storyboard/S0038.png,mid
S0039,1,SC02,setup,111,4,L1,管事处,C1,名册合上,……,受挫,CU,eye-level,static,over-shoulder,,C1:dark-blue hanfu,indoor soft,cinematic|realistic|ancient|9:16,C1半束发髻+深蓝常驻道袍+玉坠一致,"Vertical 9:16, cinematic realistic live-action ancient xianxia, 管事处, indoor soft, characters C1, 名册合上, emotion 受挫. no modern text",,blurry|lowres|deformed hands|extra fingers|text|watermark|logo|bad anatomy,100040,refpacks/C1,storyboard,episodes/ep0001/storyboard/S0039.png,mid
S0040,1,SC02,setup,115,4,L1,管事处,C1,名册合上,……,窘迫,CU,eye-level,static,center,token,C1:dark-blue hanfu,indoor soft,cinematic|realistic|ancient|9:16,C1半束发髻+深蓝常驻道袍+玉坠一致,"Vertical 9:16, cinematic realistic live-action ancient xianxia, 管事处, indoor soft, characters C1, 名册合上, emotion 窘迫. no modern text",,blurry|lowres|deformed hands|extra fingers|text|watermark|logo|bad anatomy,100041,refpacks/C1,storyboard,episodes/ep0001/storyboard/S0040.png,mid
S0041,1,SC02,setup,119,4,L1,管事处,C1,名册合上,……,窘迫,MCU,eye-level,handheld slight,over-shoulder,token,C1:dark-blue hanfu,indoor soft,cinematic|realistic|ancient|9:16,C1半束发髻+深蓝常驻道袍+玉坠一致,"Vertical 9:16, cinematic realistic live-action ancient xianxia, 管事处, indoor soft, characters C1, 名册合上, emotion 窘迫. no modern text",,blurry|lowres|deformed hands|extra fingers|text|watermark|logo|bad anatomy,100042,refpacks/C1,storyboard,episodes/ep0001/storyboard/S0041.png,mid
S0042,1,SC02,setup,123,4,L1,管事处,C1,管事摆手拒绝,名册上没你。,压抑,WS,eye-level,handheld slight,two-shot,,C1:dark-blue hanfu,indoor soft,cinematic|realistic|ancient|9:16,C1半束发髻+深蓝常驻道袍+玉坠一致,"Vertical 9:16, cinematic realistic live-action ancient xianxia, 管事处, indoor soft, characters C1, 管事摆手拒绝, emotion 压抑. no modern text",,blurry|lowres|deformed hands|extra fingers|text|watermark|logo|bad anatomy,100043,refpacks/C1,storyboard,episodes/ep0001/storyboard/S0042.png,mid
